Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),HDD (18°C base),Notes
2025-09-24,16.4,2.6,9.5,8.5,
2025-09-25,15.3,-1.7,6.8,11.2,
2025-09-26,17.9,-0.8,8.55,9.45,
2025-09-27,13.9,3.9,8.9,9.1,
2025-09-28,15.7,2.8,9.25,8.75,
2025-09-29,16,7,11.5,6.5,
2025-09-30,16.7,5.3,11,7,
2025-10-01,12,2.4,7.2,10.8,
2025-10-02,15,-2.1,6.45,11.55,
2025-10-03,14.7,4.7,9.7,8.3,
2025-10-04,8.6,3.1,5.85,12.15,
2025-10-05,6.2,-2.5,1.85,16.15,
2025-10-06,4,-8.7,-2.35,20.35,
2025-10-07,9.3,1,5.15,12.85,
2025-10-08,9.9,4.4,7.15,10.85,
2025-10-09,13.6,0.6,7.1,10.9,
2025-10-10,16.7,2.5,9.6,8.4,
2025-10-11,7.5,0.3,3.9,14.1,
2025-10-12,1.5,-4,-1.25,19.25,
2025-10-13,4.8,-6.3,-0.75,18.75,
2025-10-14,10.9,-1,4.95,13.05,
2025-10-15,15.4,2.2,8.8,9.2,
2025-10-16,7,3.8,5.4,12.6,
2025-10-17,6.1,-0.5,2.8,15.2,
2025-10-18,3.6,2.1,2.85,15.15,
2025-10-19,3.2,1,2.1,15.9,
2025-10-20,4.5,-3.9,0.3,17.7,
2025-10-21,3.5,0.4,1.95,16.05,
2025-10-22,7.4,0.6,4,14,
2025-10-23,12.2,5.2,8.7,9.3,
2025-10-24,12.9,5.6,9.25,8.75,
2025-10-25,7.5,2.8,5.15,12.85,
2025-10-26,3.3,-2.8,0.25,17.75,
2025-10-27,4,-1.4,1.3,16.7,
2025-10-28,-0.8,-2.4,-1.6,19.6,
2025-10-29,0.1,-2.3,-1.1,19.1,
2025-10-30,,,0,18,
2025-10-31,2.4,-3.4,-0.5,18.5,
2025-11-01,9.4,1.2,5.3,12.7,
2025-11-02,6.8,0.9,3.85,14.15,
2025-11-03,3.7,-2.4,0.65,17.35,
2025-11-04,-0.4,-4.8,-2.6,20.6,
2025-11-05,-3.4,-9,-6.2,24.2,
2025-11-06,-9,-15.1,-12.05,30.05,
2025-11-07,-5.7,-11.3,-8.5,26.5,
2025-11-08,-4.1,-7.6,-5.85,23.85,
2025-11-09,2.3,-5.7,-1.7,19.7,
2025-11-10,6.2,-2.6,1.8,16.2,
2025-11-11,0.7,-5.5,-2.4,20.4,
2025-11-12,-3.6,-6.8,-5.2,23.2,
2025-11-13,-1.8,-6.3,-4.05,22.05,
2025-11-14,-2.3,-6,-4.15,22.15,
2025-11-15,-6,-13.4,-9.7,27.7,
2025-11-16,-7.4,-13.6,-10.5,28.5,
2025-11-17,-3.7,-10.1,-6.9,24.9,
2025-11-18,-6.7,-15.6,-11.15,29.15,
2025-11-19,-8.5,-18,-13.25,31.25,
2025-11-20,-8.4,-9.8,-9.1,27.1,
2025-11-21,-1.3,-9.2,,,
1. Download weather data from: https://climate.weather.gc.ca/historical_data/search_historic_data_e.html,,,,,
2. Search for 'Fort Smith A' station (ID: 2202201),,,,,
"3. Select Daily data for Sept, Oct, Nov 2025",,,,,
4. Copy Max and Min temps into columns B and C,,,,,
5. Mean Temp and HDD will calculate automatically,,,,,
